link_id,from_node,to_node,distance
0,0,1,21
1,0,2,31
2,0,3,67
3,0,4,67
4,0,5,79
5,0,6,30
6,0,7,29
7,0,8,82
8,0,9,19
9,0,10,70
10,0,11,60
11,0,12,50
12,0,13,44
13,0,14,20
14,0,15,36
15,0,16,67
16,0,17,56
17,0,18,50
18,0,19,65
19,0,20,54
20,0,21,88
21,0,22,46
22,0,23,9
23,0,24,42
24,0,25,36
25,0,26,24
26,0,27,43
27,0,28,25
28,0,29,30
29,0,30,70
30,0,31,40
31,0,32,35
32,0,33,93
33,0,34,54
34,0,35,25
35,0,36,67
36,0,37,48
37,0,38,21
38,0,39,67
39,0,40,66
40,0,41,86
41,0,42,59
42,0,43,42
43,0,44,29
44,0,45,0
45,1,2,50
46,1,3,80
47,1,4,86
48,1,5,86
49,1,6,12
50,1,7,41
51,1,8,94
52,1,9,38
53,1,10,83
54,1,11,51
55,1,12,70
56,1,13,54
57,1,14,14
58,1,15,57
59,1,16,86
60,1,17,56
61,1,18,49
62,1,19,54
63,1,20,65
64,1,21,98
65,1,22,64
66,1,23,29
67,1,24,25
68,1,25,56
69,1,26,24
70,1,27,34
71,1,28,38
72,1,29,29
73,1,30,59
74,1,31,34
75,1,32,47
76,1,33,105
77,1,34,42
78,1,35,15
79,1,36,88
80,1,37,33
81,1,38,34
82,1,39,88
83,1,40,56
84,1,41,99
85,1,42,79
86,1,43,42
87,1,44,9
88,1,45,21
89,2,1,50
90,2,3,73
91,2,4,56
92,2,5,93
93,2,6,61
94,2,7,46
95,2,8,88
96,2,9,28
97,2,10,75
98,2,11,90
99,2,12,22
100,2,13,59
101,2,14,42
102,2,15,21
103,2,16,60
104,2,17,81
105,2,18,76
106,2,19,95
107,2,20,67
108,2,21,97
109,2,22,42
110,2,23,27
111,2,24,73
112,2,25,8
113,2,26,53
114,2,27,73
115,2,28,43
116,2,29,58
117,2,30,100
118,2,31,51
119,2,32,50
120,2,33,99
121,2,34,85
122,2,35,47
123,2,36,45
124,2,37,79
125,2,38,20
126,2,39,43
127,2,40,95
128,2,41,91
129,2,42,47
130,2,43,68
131,2,44,59
132,2,45,31
133,3,1,80
134,3,2,73
135,3,4,37
136,3,5,26
137,3,6,80
138,3,7,39
139,3,8,16
140,3,9,50
141,3,10,4
142,3,11,71
143,3,12,69
144,3,13,26
145,3,14,86
146,3,15,53
147,3,16,30
148,3,17,47
149,3,18,49
150,3,19,77
151,3,20,17
152,3,21,25
153,3,22,33
154,3,23,59
155,3,24,81
156,3,25,69
157,3,26,58
158,3,27,66
159,3,28,42
160,3,29,55
161,3,30,81
162,3,31,107
163,3,32,33
164,3,33,27
165,3,34,75
166,3,35,90
167,3,36,61
168,3,37,79
169,3,38,81
170,3,39,66
171,3,40,74
172,3,41,20
173,3,42,40
174,3,43,48
175,3,44,81
176,3,45,67
177,4,1,86
178,4,2,56
179,4,3,37
180,4,5,63
181,4,6,91
182,4,7,50
183,4,8,45
184,4,9,48
185,4,10,35
186,4,11,98
187,4,12,43
188,4,13,48
189,4,14,86
190,4,15,36
191,4,16,7
192,4,17,76
193,4,18,76
194,4,19,103
195,4,20,46
196,4,21,58
197,4,22,22
198,4,23,58
199,4,24,98
200,4,25,50
201,4,26,71
202,4,27,87
203,4,28,52
204,4,29,72
205,4,30,108
206,4,31,103
207,4,32,47
208,4,33,54
209,4,34,98
210,4,35,92
211,4,36,26
212,4,37,99
213,4,38,72
214,4,39,32
215,4,40,102
216,4,41,46
217,4,42,9
218,4,43,71
219,4,44,91
220,4,45,67
221,5,1,86
222,5,2,93
223,5,3,26
224,5,4,63
225,5,6,83
226,5,7,51
227,5,8,23
228,5,9,67
229,5,10,28
230,5,11,61
231,5,12,93
232,5,13,35
233,5,14,96
234,5,15,75
235,5,16,56
236,5,17,37
237,5,18,43
238,5,19,65
239,5,20,26
240,5,21,16
241,5,22,56
242,5,23,74
243,5,24,80
244,5,25,91
245,5,26,62
246,5,27,63
247,5,28,54
248,5,29,57
249,5,30,68
250,5,31,118
251,5,32,45
252,5,33,27
253,5,34,68
254,5,35,99
255,5,36,87
256,5,37,75
257,5,38,97
258,5,39,92
259,5,40,62
260,5,41,27
261,5,42,66
262,5,43,46
263,5,44,85
264,5,45,79
265,6,1,12
266,6,2,61
267,6,3,80
268,6,4,91
269,6,5,83
270,6,7,42
271,6,8,94
272,6,9,45
273,6,10,83
274,6,11,40
275,6,12,80
276,6,13,53
277,6,14,26
278,6,15,65
279,6,16,90
280,6,17,49
281,6,18,42
282,6,19,43
283,6,20,64
284,6,21,96
285,6,22,69
286,6,23,38
287,6,24,13
288,6,25,67
289,6,26,22
290,6,27,25
291,6,28,40
292,6,29,26
293,6,30,47
294,6,31,44
295,6,32,48
296,6,33,104
297,6,34,31
298,6,35,25
299,6,36,96
300,6,37,21
301,6,38,46
302,6,39,97
303,6,40,45
304,6,41,98
305,6,42,85
306,6,43,37
307,6,44,3
308,6,45,30
309,7,1,41
310,7,2,46
311,7,3,39
312,7,4,50
313,7,5,51
314,7,6,42
315,7,8,54
316,7,9,18
317,7,10,43
318,7,11,50
319,7,12,55
320,7,13,15
321,7,14,47
322,7,15,35
323,7,16,48
324,7,17,35
325,7,18,31
326,7,19,56
327,7,20,26
328,7,21,60
329,7,22,29
330,7,23,23
331,7,24,47
332,7,25,47
333,7,26,21
334,7,27,37
335,7,28,4
336,7,29,21
337,7,30,61
338,7,31,69
339,7,32,6
340,7,33,65
341,7,34,49
342,7,35,51
343,7,36,61
344,7,37,48
345,7,38,47
346,7,39,64
347,7,40,55
348,7,41,59
349,7,42,46
350,7,43,24
351,7,44,43
352,7,45,29
353,8,1,94
354,8,2,88
355,8,3,16
356,8,4,45
357,8,5,23
358,8,6,94
359,8,7,54
360,8,9,66
361,8,10,13
362,8,11,80
363,8,12,83
364,8,13,40
365,8,14,101
366,8,15,68
367,8,16,38
368,8,17,55
369,8,18,59
370,8,19,85
371,8,20,30
372,8,21,13
373,8,22,47
374,8,23,75
375,8,24,94
376,8,25,84
377,8,26,72
378,8,27,78
379,8,28,58
380,8,29,68
381,8,30,88
382,8,31,122
383,8,32,48
384,8,33,11
385,8,34,85
386,8,35,106
387,8,36,71
388,8,37,91
389,8,38,97
390,8,39,77
391,8,40,82
392,8,41,5
393,8,42,51
394,8,43,60
395,8,44,95
396,8,45,82
397,9,1,38
398,9,2,28
399,9,3,50
400,9,4,48
401,9,5,67
402,9,6,45
403,9,7,18
404,9,8,66
405,9,10,53
406,9,11,64
407,9,12,39
408,9,13,32
409,9,14,38
410,9,15,21
411,9,16,49
412,9,17,53
413,9,18,48
414,9,19,70
415,9,20,41
416,9,21,74
417,9,22,27
418,9,23,10
419,9,24,54
420,9,25,29
421,9,26,29
422,9,27,49
423,9,28,15
424,9,29,33
425,9,30,75
426,9,31,58
427,9,32,22
428,9,33,77
429,9,34,61
430,9,35,44
431,9,36,51
432,9,37,57
433,9,38,31
434,9,39,53
435,9,40,70
436,9,41,70
437,9,42,41
438,9,43,40
439,9,44,44
440,9,45,19
441,10,1,83
442,10,2,75
443,10,3,4
444,10,4,35
445,10,5,28
446,10,6,83
447,10,7,43
448,10,8,13
449,10,9,53
450,10,11,75
451,10,12,70
452,10,13,30
453,10,14,89
454,10,15,54
455,10,16,28
456,10,17,50
457,10,18,53
458,10,19,81
459,10,20,21
460,10,21,24
461,10,22,34
462,10,23,62
463,10,24,85
464,10,25,71
465,10,26,61
466,10,27,70
467,10,28,46
468,10,29,59
469,10,30,84
470,10,31,110
471,10,32,36
472,10,33,25
473,10,34,79
474,10,35,94
475,10,36,60
476,10,37,83
477,10,38,84
478,10,39,66
479,10,40,78
480,10,41,17
481,10,42,39
482,10,43,52
483,10,44,85
484,10,45,70
485,11,1,51
486,11,2,90
487,11,3,71
488,11,4,98
489,11,5,61
490,11,6,40
491,11,7,50
492,11,8,80
493,11,9,64
494,11,10,75
495,11,12,103
496,11,13,50
497,11,14,65
498,11,15,84
499,11,16,94
500,11,17,25
501,11,18,22
502,11,19,6
503,11,20,55
504,11,21,77
505,11,22,78
506,11,23,63
507,11,24,30
508,11,25,93
509,11,26,37
510,11,27,17
511,11,28,51
512,11,29,32
513,11,30,11
514,11,31,85
515,11,32,52
516,11,33,87
517,11,34,10
518,11,35,65
519,11,36,111
520,11,37,21
521,11,38,81
522,11,39,115
523,11,40,5
524,11,41,85
525,11,42,95
526,11,43,27
527,11,44,43
528,11,45,60
529,12,1,70
530,12,2,22
531,12,3,69
532,12,4,43
533,12,5,93
534,12,6,80
535,12,7,55
536,12,8,83
537,12,9,39
538,12,10,70
539,12,11,103
540,12,13,64
541,12,14,63
542,12,15,20
543,12,16,48
544,12,17,89
545,12,18,86
546,12,19,109
547,12,20,69
548,12,21,94
549,12,22,37
550,12,23,43
551,12,24,91
552,12,25,14
553,12,26,68
554,12,27,88
555,12,28,53
556,12,29,72
557,12,30,114
558,12,31,73
559,12,32,56
560,12,33,93
561,12,34,100
562,12,35,69
563,12,36,24
564,12,37,96
565,12,38,42
566,12,39,21
567,12,40,109
568,12,41,85
569,12,42,34
570,12,43,79
571,12,44,78
572,12,45,50
573,13,1,54
574,13,2,59
575,13,3,26
576,13,4,48
577,13,5,35
578,13,6,53
579,13,7,15
580,13,8,40
581,13,9,32
582,13,10,30
583,13,11,50
584,13,12,64
585,13,14,62
586,13,15,44
587,13,16,44
588,13,17,28
589,13,18,28
590,13,19,55
591,13,20,11
592,13,21,45
593,13,22,31
594,13,23,38
595,13,24,55
596,13,25,58
597,13,26,31
598,13,27,41
599,13,28,19
600,13,29,29
601,13,30,60
602,13,31,84
603,13,32,9
604,13,33,51
605,13,34,51
606,13,35,66
607,13,36,65
608,13,37,54
609,13,38,62
610,13,39,69
611,13,40,54
612,13,41,45
613,13,42,46
614,13,43,24
615,13,44,55
616,13,45,44
617,14,1,14
618,14,2,42
619,14,3,86
620,14,4,86
621,14,5,96
622,14,6,26
623,14,7,47
624,14,8,101
625,14,9,38
626,14,10,89
627,14,11,65
628,14,12,63
629,14,13,62
630,14,15,53
631,14,16,87
632,14,17,68
633,14,18,61
634,14,19,68
635,14,20,72
636,14,21,106
637,14,22,65
638,14,23,28
639,14,24,39
640,14,25,49
641,14,26,35
642,14,27,48
643,14,28,43
644,14,29,41
645,14,30,73
646,14,31,22
647,14,32,53
648,14,33,112
649,14,34,56
650,14,35,6
651,14,36,83
652,14,37,47
653,14,38,23
654,14,39,83
655,14,40,70
656,14,41,105
657,14,42,78
658,14,43,54
659,14,44,23
660,14,45,20
661,15,1,57
662,15,2,21
663,15,3,53
664,15,4,36
665,15,5,75
666,15,6,65
667,15,7,35
668,15,8,68
669,15,9,21
670,15,10,54
671,15,11,84
672,15,12,20
673,15,13,44
674,15,14,53
675,15,16,39
676,15,17,70
677,15,18,66
678,15,19,90
679,15,20,50
680,15,21,78
681,15,22,21
682,15,23,27
683,15,24,74
684,15,25,16
685,15,26,50
686,15,27,69
687,15,28,34
688,15,29,53
689,15,30,95
690,15,31,68
691,15,32,36
692,15,33,79
693,15,34,81
694,15,35,59
695,15,36,31
696,15,37,78
697,15,38,37
698,15,39,32
699,15,40,89
700,15,41,71
701,15,42,27
702,15,43,59
703,15,44,64
704,15,45,36
705,16,1,86
706,16,2,60
707,16,3,30
708,16,4,7
709,16,5,56
710,16,6,90
711,16,7,48
712,16,8,38
713,16,9,49
714,16,10,28
715,16,11,94
716,16,12,48
717,16,13,44
718,16,14,87
719,16,15,39
720,16,17,71
721,16,18,72
722,16,19,99
723,16,20,41
724,16,21,51
725,16,22,22
726,16,23,59
727,16,24,96
728,16,25,54
729,16,26,69
730,16,27,84
731,16,28,50
732,16,29,69
733,16,30,104
734,16,31,105
735,16,32,44
736,16,33,47
737,16,34,95
738,16,35,93
739,16,36,33
740,16,37,96
741,16,38,75
742,16,39,39
743,16,40,97
744,16,41,39
745,16,42,14
746,16,43,67
747,16,44,90
748,16,45,67
749,17,1,56
750,17,2,81
751,17,3,47
752,17,4,76
753,17,5,37
754,17,6,49
755,17,7,35
756,17,8,55
757,17,9,53
758,17,10,50
759,17,11,25
760,17,12,89
761,17,13,28
762,17,14,68
763,17,15,70
764,17,16,71
765,17,18,7
766,17,19,30
767,17,20,31
768,17,21,52
769,17,22,59
770,17,23,55
771,17,24,44
772,17,25,82
773,17,26,33
774,17,27,26
775,17,28,37
776,17,29,27
777,17,30,34
778,17,31,90
779,17,32,34
780,17,33,63
781,17,34,31
782,17,35,70
783,17,36,93
784,17,37,38
785,17,38,77
786,17,39,97
787,17,40,28
788,17,41,60
789,17,42,74
790,17,43,14
791,17,44,52
792,17,45,56
793,18,1,49
794,18,2,76
795,18,3,49
796,18,4,76
797,18,5,43
798,18,6,42
799,18,7,31
800,18,8,59
801,18,9,48
802,18,10,53
803,18,11,22
804,18,12,86
805,18,13,28
806,18,14,61
807,18,15,66
808,18,16,72
809,18,17,7
810,18,19,28
811,18,20,33
812,18,21,58
813,18,22,57
814,18,23,50
815,18,24,37
816,18,25,77
817,18,26,26
818,18,27,20
819,18,28,33
820,18,29,20
821,18,30,32
822,18,31,83
823,18,32,31
824,18,33,68
825,18,34,26
826,18,35,63
827,18,36,91
828,18,37,32
829,18,38,71
830,18,39,95
831,18,40,26
832,18,41,64
833,18,42,73
834,18,43,8
835,18,44,44
836,18,45,50
837,19,1,54
838,19,2,95
839,19,3,77
840,19,4,103
841,19,5,65
842,19,6,43
843,19,7,56
844,19,8,85
845,19,9,70
846,19,10,81
847,19,11,6
848,19,12,109
849,19,13,55
850,19,14,68
851,19,15,90
852,19,16,99
853,19,17,30
854,19,18,28
855,19,20,60
856,19,21,81
857,19,22,84
858,19,23,68
859,19,24,31
860,19,25,98
861,19,26,42
862,19,27,22
863,19,28,57
864,19,29,37
865,19,30,5
866,19,31,87
867,19,32,57
868,19,33,92
869,19,34,12
870,19,35,68
871,19,36,117
872,19,37,22
873,19,38,85
874,19,39,120
875,19,40,4
876,19,41,90
877,19,42,100
878,19,43,32
879,19,44,46
880,19,45,65
881,20,1,65
882,20,2,67
883,20,3,17
884,20,4,46
885,20,5,26
886,20,6,64
887,20,7,26
888,20,8,30
889,20,9,41
