link_id,from_node,to_node,mean,variance
0,0,1,66,29.31
1,0,2,47,28.54
2,0,3,85,26.77
3,0,4,95,55.45
4,0,5,51,43.47
5,0,6,52,32.87
6,0,7,9,8.13
7,0,8,47,39.43
8,0,9,74,60.53
9,0,10,24,7.27
10,0,11,80,47.41
11,0,12,29,17.46
12,0,13,39,22.77
13,0,14,40,36.74
14,0,15,3,1.57
15,0,16,37,31.56
16,0,17,102,28.81
17,0,18,53,28.71
18,0,19,39,17.97
19,0,20,14,12.21
20,0,21,95,45.57
21,0,22,52,30.15
22,0,23,102,42.09
23,0,24,85,72.22
24,0,25,66,59.16
25,0,26,76,30.27
26,0,27,102,31.96
27,0,28,2,0.86
28,0,29,44,35.97
29,0,30,55,30.09
30,0,31,59,23.82
31,0,32,53,20.16
32,0,33,94,78.23
33,0,34,56,28.22
34,0,35,91,41.09
35,0,36,27,13.49
36,0,37,41,30.84
37,0,38,38,30.09
38,0,39,96,18.27
39,0,40,43,38.37
40,0,41,99,27.6
41,0,42,81,39.27
42,0,43,51,48.02
43,0,44,52,10.11
44,0,45,70,69.5
45,0,46,65,35.3
46,0,47,83,27.33
47,0,48,28,1.89
48,0,49,83,34.86
49,0,50,95,86.06
50,0,51,18,17.31
51,0,52,25,1.08
52,0,53,25,3.63
53,0,54,75,70.13
54,0,55,74,48.68
55,0,56,31,27.46
56,0,57,67,28.2
57,0,58,100,27.6
58,0,59,73,63.06
59,0,60,52,42.13
60,0,61,39,7.93
61,0,62,0,0.0
62,1,2,33,6.93
63,1,3,22,9.46
64,1,4,34,12.79
65,1,5,19,5.61
66,1,6,66,18.78
67,1,7,65,2.74
68,1,8,90,18.31
69,1,9,9,8.8
70,1,10,76,34.62
71,1,11,23,7.81
72,1,12,37,26.83
73,1,13,28,16.05
74,1,14,28,25.72
75,1,15,63,33.71
76,1,16,65,51.32
77,1,17,73,10.21
78,1,18,14,11.83
79,1,19,29,16.01
80,1,20,58,36.91
81,1,21,30,26.78
82,1,22,48,25.0
83,1,23,36,18.85
84,1,24,25,22.58
85,1,25,19,8.86
86,1,26,50,12.82
87,1,27,38,22.07
88,1,28,64,38.74
89,1,29,73,52.65
90,1,30,12,7.81
91,1,31,25,14.64
92,1,32,67,58.82
93,1,33,62,59.33
94,1,34,31,17.56
95,1,35,42,16.42
96,1,36,56,24.75
97,1,37,53,41.17
98,1,38,30,26.32
99,1,39,33,8.73
100,1,40,59,4.05
101,1,41,33,29.84
102,1,42,18,16.0
103,1,43,82,73.32
104,1,44,42,17.59
105,1,45,25,14.83
106,1,46,15,2.51
107,1,47,28,15.97
108,1,48,38,22.17
109,1,49,30,13.14
110,1,50,72,7.19
111,1,51,76,40.58
112,1,52,52,27.16
113,1,53,41,15.03
114,1,54,9,1.24
115,1,55,50,10.15
116,1,56,38,2.26
117,1,57,70,45.71
118,1,58,70,16.22
119,1,59,49,26.53
120,1,60,21,1.27
121,1,61,66,16.75
122,1,62,66,5.04
123,2,1,33,0.75
124,2,3,44,12.53
125,2,4,67,34.55
126,2,5,34,10.21
127,2,6,73,50.63
128,2,7,50,13.06
129,2,8,86,74.69
130,2,9,43,1.77
131,2,10,66,50.53
132,2,11,56,34.73
133,2,12,27,24.45
134,2,13,22,11.39
135,2,14,31,1.17
136,2,15,44,33.87
137,2,16,32,21.25
138,2,17,100,56.73
139,2,18,21,9.74
140,2,19,14,2.76
141,2,20,46,29.26
142,2,21,62,40.31
143,2,22,16,0.87
144,2,23,63,3.04
145,2,24,42,19.8
146,2,25,47,45.91
147,2,26,73,41.82
148,2,27,60,50.07
149,2,28,45,29.32
150,2,29,74,5.71
151,2,30,22,5.13
152,2,31,46,9.44
153,2,32,74,55.48
154,2,33,89,44.21
155,2,34,49,25.49
156,2,35,73,63.69
157,2,36,27,11.83
158,2,37,20,16.49
159,2,38,15,7.7
160,2,39,53,5.22
161,2,40,63,49.25
162,2,41,63,1.04
163,2,42,40,10.4
164,2,43,83,30.06
165,2,44,11,6.73
166,2,45,25,24.8
167,2,46,23,4.77
168,2,47,38,7.72
169,2,48,30,25.68
170,2,49,62,25.65
171,2,50,96,13.26
172,2,51,62,54.06
173,2,52,24,3.37
174,2,53,29,2.33
175,2,54,40,31.15
176,2,55,73,55.89
177,2,56,34,15.83
178,2,57,83,45.57
179,2,58,97,20.0
180,2,59,71,10.87
181,2,60,37,11.41
182,2,61,66,25.63
183,2,62,47,45.15
184,3,1,22,12.51
185,3,2,44,33.84
186,3,4,34,32.07
187,3,5,42,31.89
188,3,6,88,81.71
189,3,7,85,30.81
190,3,8,112,31.64
191,3,9,21,19.99
192,3,10,98,13.39
193,3,11,33,2.17
194,3,12,57,22.95
195,3,13,47,12.88
196,3,14,50,47.65
197,3,15,82,58.24
198,3,16,76,43.16
199,3,17,87,65.36
200,3,18,33,25.51
201,3,19,47,2.88
202,3,20,79,54.85
203,3,21,23,11.19
204,3,22,54,15.48
205,3,23,19,10.25
206,3,24,6,3.56
207,3,25,38,0.88
208,3,26,67,28.65
209,3,27,17,12.18
210,3,28,84,9.83
211,3,29,95,94.37
212,3,30,30,22.94
213,3,31,46,34.83
214,3,32,89,20.63
215,3,33,75,52.45
216,3,34,52,5.55
217,3,35,51,25.74
218,3,36,71,56.59
219,3,37,64,10.78
220,3,38,48,6.49
221,3,39,11,6.44
222,3,40,81,9.43
223,3,41,21,5.64
224,3,42,4,0.16
225,3,43,104,59.8
226,3,44,49,33.17
227,3,45,23,16.65
228,3,46,22,3.89
229,3,47,13,0.3
230,3,48,59,46.88
231,3,49,41,18.86
232,3,50,87,51.56
233,3,51,97,39.76
234,3,52,67,10.91
235,3,53,61,10.12
236,3,54,15,14.54
237,3,55,68,8.43
238,3,56,59,34.97
239,3,57,91,34.26
240,3,58,84,58.91
241,3,59,67,56.08
242,3,60,43,27.82
243,3,61,88,10.81
244,3,62,85,29.11
245,4,1,34,1.26
246,4,2,67,11.31
247,4,3,34,25.51
248,4,5,43,18.59
249,4,6,77,59.25
250,4,7,91,13.94
251,4,8,107,38.3
252,4,9,24,13.36
253,4,10,99,45.21
254,4,11,15,3.77
255,4,12,66,21.97
256,4,13,58,10.52
257,4,14,55,28.88
258,4,15,92,42.67
259,4,16,98,13.02
260,4,17,57,40.2
261,4,18,47,1.22
262,4,19,62,27.87
263,4,20,84,1.04
264,4,21,12,7.07
265,4,22,81,67.25
266,4,23,27,4.61
267,4,24,40,24.23
268,4,25,29,26.26
269,4,26,45,38.57
270,4,27,35,28.9
271,4,28,93,40.07
272,4,29,88,33.13
273,4,30,45,25.88
274,4,31,38,1.69
275,4,32,78,18.46
276,4,33,46,25.24
277,4,34,43,41.01
278,4,35,20,2.38
