link_id,from_node,to_node,distance
0,0,1,15
1,0,2,18
2,0,3,22
3,0,4,25
4,0,5,21
5,0,6,11
6,0,7,21
7,0,8,26
8,0,9,32
9,0,10,25
10,0,11,34
11,0,12,15
12,0,13,11
13,0,14,32
14,0,15,30
15,0,16,29
16,0,17,30
17,0,18,16
18,0,19,32
19,0,20,32
20,0,21,18
21,0,22,27
22,0,23,36
23,0,24,30
24,0,25,34
25,0,26,11
26,0,27,5
27,0,28,6
28,0,29,30
29,0,30,25
30,0,31,17
31,0,32,34
32,0,33,25
33,0,34,36
34,0,35,41
35,0,36,41
36,0,37,21
37,0,38,42
38,0,39,34
39,0,40,11
40,0,41,29
41,0,42,25
42,0,43,34
43,0,44,32
44,0,45,29
45,0,46,35
46,0,47,34
47,0,48,28
48,0,49,44
49,0,50,17
50,0,51,27
51,0,52,11
52,0,53,4
53,0,54,23
54,0,55,30
55,0,56,29
56,0,57,23
57,0,58,9
58,0,59,18
59,0,60,18
60,0,61,25
61,0,62,25
62,0,63,35
63,0,64,47
64,0,65,50
65,0,66,40
66,0,67,44
67,0,68,21
68,0,69,12
69,0,70,21
70,0,71,40
71,0,72,22
72,0,73,20
73,0,74,25
74,0,75,28
75,0,76,16
76,0,77,20
77,0,78,31
78,0,79,26
79,0,80,21
80,0,81,28
81,0,82,23
82,0,83,21
83,0,84,24
84,0,85,23
85,0,86,35
86,0,87,18
87,0,88,19
88,0,89,9
89,0,90,32
90,0,91,26
91,0,92,18
92,0,93,20
93,0,94,12
94,0,95,15
95,0,96,15
96,0,97,17
97,0,98,21
98,0,99,17
99,0,100,24
100,0,101,0
101,1,2,33
102,1,3,15
103,1,4,32
104,1,5,32
105,1,6,25
106,1,7,21
107,1,8,32
108,1,9,18
109,1,10,16
110,1,11,26
111,1,12,17
112,1,13,26
113,1,14,47
114,1,15,45
115,1,16,42
116,1,17,41
117,1,18,23
118,1,19,28
119,1,20,16
120,1,21,29
121,1,22,39
122,1,23,46
123,1,24,28
124,1,25,38
125,1,26,19
126,1,27,11
127,1,28,12
128,1,29,24
129,1,30,11
130,1,31,10
131,1,32,21
132,1,33,12
133,1,34,25
134,1,35,27
135,1,36,41
136,1,37,36
137,1,38,57
138,1,39,42
139,1,40,24
140,1,41,42
141,1,42,41
142,1,43,49
143,1,44,46
144,1,45,37
145,1,46,39
146,1,47,34
147,1,48,28
148,1,49,40
149,1,50,6
150,1,51,12
151,1,52,15
152,1,53,18
153,1,54,26
154,1,55,34
155,1,56,39
156,1,57,38
157,1,58,24
158,1,59,32
159,1,60,28
160,1,61,38
161,1,62,19
162,1,63,24
163,1,64,38
164,1,65,35
165,1,66,25
166,1,67,51
167,1,68,18
168,1,69,4
169,1,70,8
170,1,71,25
