link_id,from_node,to_node,mean,variance
0,0,1,49,22.43
1,0,2,48,35.17
2,0,3,42,7.46
3,0,4,41,34.17
4,0,5,37,28.88
5,0,6,31,0.53
6,0,7,31,29.53
7,0,8,24,1.52
8,0,9,28,17.47
9,0,10,17,0.1
10,0,11,23,8.76
11,0,12,11,8.85
12,0,13,16,14.33
13,0,14,7,4.78
14,0,15,20,18.22
15,0,16,10,8.61
16,0,17,22,13.0
17,0,18,29,21.11
18,0,19,31,6.82
19,0,20,32,16.7
20,0,21,34,27.53
21,0,22,0,0.0
22,1,2,9,8.88
23,1,3,23,11.08
24,1,4,26,4.09
25,1,5,21,11.54
26,1,6,19,14.74
27,1,7,24,8.43
28,1,8,27,0.53
29,1,9,30,15.15
30,1,10,32,13.15
31,1,11,40,11.5
32,1,12,47,40.74
33,1,13,55,11.05
34,1,14,56,41.48
35,1,15,57,42.96
36,1,16,59,24.61
37,1,17,71,36.03
38,1,18,72,59.5
39,1,19,78,27.77
40,1,20,79,75.47
41,1,21,83,72.64
42,1,22,49,47.28
43,2,1,9,7.21
44,2,3,30,22.42
45,2,4,32,6.29
46,2,5,15,14.14
47,2,6,20,16.21
48,2,7,19,2.7
49,2,8,28,13.12
50,2,9,25,12.73
51,2,10,31,16.26
52,2,11,43,11.83
53,2,12,44,13.37
54,2,13,56,23.56
55,2,14,55,12.75
56,2,15,53,50.32
57,2,16,58,9.48
58,2,17,69,14.35
59,2,18,68,54.35
60,2,19,78,32.69
61,2,20,76,74.82
62,2,21,81,25.11
63,2,22,48,44.6
64,3,1,23,15.34
65,3,2,30,29.51
66,3,4,3,0.5
67,3,5,34,11.47
68,3,6,18,1.8
69,3,7,33,13.09
70,3,8,19,3.65
71,3,9,38,13.32
72,3,10,28,0.48
73,3,11,23,16.27
74,3,12,45,21.47
75,3,13,40,22.63
76,3,14,49,12.98
77,3,15,57,36.19
78,3,16,49,34.27
79,3,17,63,55.23
80,3,18,70,19.08
81,3,19,65,29.67
82,3,20,73,52.69
83,3,21,73,36.21
84,3,22,42,13.79
85,4,1,26,15.09
86,4,2,32,2.91
87,4,3,3,2.22
88,4,5,35,12.26
89,4,6,19,11.17
90,4,7,34,7.2
91,4,8,19,13.35
92,4,9,38,26.47
93,4,10,28,12.84
94,4,11,21,8.09
95,4,12,45,37.89
96,4,13,38,16.46
97,4,14,48,8.1
98,4,15,57,38.19
99,4,16,48,36.85
100,4,17,62,1.54
101,4,18,69,39.73
102,4,19,63,4.77
103,4,20,72,41.71
104,4,21,71,44.05
105,4,22,41,26.54
106,5,1,21,4.75
107,5,2,15,7.67
108,5,3,34,33.69
109,5,4,35,15.81
110,5,6,17,12.03
111,5,7,5,2.36
112,5,8,22,12.04
113,5,9,11,10.23
114,5,10,21,13.66
115,5,11,38,14.98
116,5,12,31,5.79
117,5,13,47,21.29
118,5,14,43,1.07
119,5,15,39,1.77
120,5,16,47,4.0
121,5,17,56,27.89
122,5,18,54,33.0
123,5,19,67,10.48
124,5,20,63,24.35
125,5,21,69,31.08
126,5,22,37,27.13
127,6,1,19,14.46
128,6,2,20,12.93
129,6,3,18,17.33
130,6,4,19,17.6
131,6,5,17,12.26
132,6,7,16,1.66
133,6,8,8,0.78
134,6,9,20,15.12
135,6,10,14,6.03
136,6,11,23,9.56
137,6,12,31,7.69
138,6,13,36,6.55
139,6,14,38,5.29
140,6,15,42,6.74
141,6,16,40,22.05
142,6,17,53,27.05
143,6,18,56,27.55
144,6,19,59,56.44
145,6,20,62,55.4
146,6,21,64,21.84
147,6,22,31,8.82
148,7,1,24,4.13
149,7,2,19,5.86
150,7,3,33,10.56
151,7,4,34,18.88
152,7,5,5,3.87
153,7,6,16,7.78
154,7,8,19,13.5
155,7,9,6,1.14
156,7,10,16,4.06
157,7,11,35,0.97
158,7,12,25,9.11
159,7,13,43,24.36
160,7,14,37,7.55
161,7,15,34,9.87
162,7,16,41,28.03
163,7,17,51,34.16
164,7,18,49,22.09
165,7,19,62,40.06
166,7,20,57,48.8
167,7,21,64,62.04
168,7,22,31,24.1
169,8,1,27,4.81
170,8,2,28,4.92
171,8,3,19,0.98
172,8,4,19,13.64
173,8,5,22,4.98
